Year,January,February,March,April,May,June,July,August,September,October,November,December
2011,3.70,3.52,3.68,4.39,5.01,4.05,3.13,3.66,3.85,4.54,4.35,4.72
2012,4.25,5.06,6.23,6.07,5.65,5.23,3.36,4.18,4.76,5.38,5.43,4.06
2013,5.00,4.81,4.93,5.86,6.76,7.04,5.09,6.24,6.66,6.31,7.86,5.07
2014,1.26,1.33,-0.03,5.20,7.20,6.03,6.26,6.76,7.96,10.01,8.23,7.44
2015,5.07,3.96,6.29,9.56,9.67,9.54,7.88,8.01,6.70,7.54,11.32,9.47
2016,9.18,9.85,10.61,11.13,10.75,9.55,8.31,7.10,9.53,11.20,11.10,8.71
2017,8.23,8.64,7.14,10.78,12.31,11.85,11.28,10.11,8.86,12.56,9.70,9.21
2018,6.74,8.17,9.48,9.96,10.79,11.90,7.74,7.49,8.58,12.06,9.86,7.40
2019,8.09,8.81,8.04,12.33,12.60,13.73,9.65,12.61,12.26,13.68,9.95,9.32
2020,10.23,11.33,11.94,11.50,11.50,11.50,9.90,10.35,12.18,12.81,11.71,10.56

